frame,e2e_ms,pre_ms,infer_ms,post_ms,cpu_util_pct,ram_used_mb,gpu_util_pct,vram_used_mb,power_w
0,26.758800027891994,1.6096998006105423,12.375999940559268,12.38780003041029,10.2,14669.4296875,33,801.73046875,11.578
1,26.78439998999238,1.5996999572962523,12.101600179448724,12.739400146529078,100.0,14669.63671875,33,801.73046875,12.079
2,27.836699970066547,1.1921999976038933,11.554599972441792,14.74800007417798,2.1,14672.8203125,33,801.73046875,12.079
3,36.973000038415194,1.224899897351861,12.129399925470352,23.306600051000714,14.5,14663.671875,33,801.73046875,12.079
4,29.001800110563636,1.1015001218765974,11.577999917790294,16.004999866709113,9.5,14657.66796875,33,801.73046875,12.613
5,33.63409987650812,1.0464000515639782,12.467000167816877,19.797599874436855,25.0,14650.7109375,33,801.73046875,12.613
6,30.565900029614568,1.2203999795019627,12.148200068622828,16.87529985792935,17.3,14645.73828125,33,801.73046875,12.613
7,35.19649989902973,1.095999963581562,12.080100132152438,21.67439996264875,10.5,14636.85546875,33,801.73046875,13.145
8,32.582900021225214,1.149799907580018,13.137900037690997,17.96910003758967,10.3,14638.75,33,801.73046875,13.145
9,29.354500118643045,1.007900107651949,12.1414999011904,15.887900022789836,12.1,14631.92578125,33,801.73046875,13.145
10,29.388800030574203,1.238600118085742,12.004199903458357,15.856300015002489,12.5,14628.0078125,33,801.73046875,13.596
11,31.23080008663237,1.1307999957352877,12.816899921745062,16.990399919450283,12.5,14624.5234375,33,801.73046875,13.596
12,27.20370003953576,1.1362000368535519,11.805000016465783,13.937799958512187,13.8,14626.94921875,33,801.73046875,13.596
13,28.328999876976013,1.162300119176507,11.968899983912706,14.884899836033583,10.9,14622.0,33,801.73046875,13.596
14,47.55080002360046,1.122400164604187,16.363400034606457,29.68659996986389,11.1,14609.48046875,33,801.73046875,14.043
15,39.01780000887811,1.3248000759631395,19.410100067034364,17.911700066179037,5.8,14602.62109375,33,801.73046875,14.043
16,32.933800015598536,1.2221999932080507,11.973900021985173,19.34530003927648,18.2,14593.76171875,33,801.73046875,14.351
17,31.207399908453226,1.1373998131603003,12.399700004607439,17.352200113236904,12.7,14601.70703125,33,801.73046875,14.351
18,32.694100169464946,1.1938998941332102,12.498300056904554,18.656699918210506,15.2,14596.58984375,33,801.73046875,14.351
19,57.19719990156591,1.2328000739216805,23.03609997034073,32.59209985844791,10.7,14593.625,33,801.73046875,14.578
20,34.96740013360977,1.1378999333828688,17.519599990919232,16.036199871450663,6.8,14593.625,33,801.73046875,14.578
21,49.761799862608314,0.9310001041740179,16.416399972513318,32.127799931913614,8.1,14593.8984375,33,801.73046875,14.756
22,49.21309999190271,2.252300037071109,15.715900110080838,30.94780002720654,9.4,14593.546875,33,801.73046875,14.756
23,39.438600186258554,1.6411999240517616,19.543600035831332,17.85449986346066,19.7,14593.546875,33,801.73046875,14.802
24,29.99629988335073,1.1813999153673649,11.803700122982264,16.68669981881976,16.7,14593.546875,18,801.73046875,14.802
25,30.16530000604689,1.1078999377787113,10.976199992001057,17.78819994069636,14.1,14593.59765625,18,801.73046875,14.802
26,29.20720004476607,1.0089999996125698,11.420700000599027,16.48269989527762,18.2,14593.59765625,18,801.73046875,15.135
27,30.27390013448894,0.9875998366624117,11.926100123673677,17.031800001859665,25.0,14593.69140625,18,801.73046875,15.135
28,30.227200128138065,1.0344998445361853,11.706200195476413,17.178900074213743,37.0,14593.71484375,18,801.73046875,15.135
29,29.917299980297685,1.0399001184850931,12.74820021353662,15.805100090801716,52.2,14593.71484375,18,801.73046875,15.212
30,31.00239997729659,1.0460999328643084,12.931599980220199,16.694999998435378,16.9,14593.75390625,18,801.73046875,15.212
31,47.90609981864691,1.0059000924229622,12.081699911504984,34.480900038033724,15.7,14593.77734375,18,801.73046875,15.212
32,30.32390004955232,1.098700100556016,11.712800012901425,17.18209986574948,18.5,14593.78125,18,801.73046875,15.327
